company_name,date,company_id,,,,,,,
パワーシェアリング,2016/5/30,120160530A062,,,,,,,
,,,,,,,,,
data_id,company_name,transaction_at,area,val1,val2,val3,val4,val5,val6
11605312006A00023,パワーシェアリング,2016/05/31 09:30-10:00,関西,7.89,6,23670,0.03,90,0.5
11605312009A00013,パワーシェアリング,2016/05/31 09:30-10:00,九州,7.89,2,7890,0.03,30,0.5
11605312102A00014,パワーシェアリング,2016/05/31 10:00-10:30,東北,11.79,1,5895,0.03,15,0.5
11605312103A00039,パワーシェアリング,2016/05/31 10:00-10:30,東京,11.79,6,35370,0.03,90,0.5
11605312106A00023,パワーシェアリング,2016/05/31 10:00-10:30,関西,7.89,6,23670,0.03,90,0.5
11605312109A00014,パワーシェアリング,2016/05/31 10:00-10:30,九州,7.89,2,7890,0.03,30,0.5
11605312202A00012,パワーシェアリング,2016/05/31 10:30-11:00,東北,11.79,1,5895,0.03,15,0.5
11605312203A00040,パワーシェアリング,2016/05/31 10:30-11:00,東京,11.79,6,35370,0.03,90,0.5
11605312204A00016,パワーシェアリング,2016/05/31 10:30-11:00,中部,8.04,1,4020,0.03,15,0.5
11605312206A00022,パワーシェアリング,2016/05/31 10:30-11:00,関西,8.04,6,24120,0.03,90,0.5
11605312209A00014,パワーシェアリング,2016/05/31 10:30-11:00,九州,8.04,2,8040,0.03,30,0.5
11605312302A00012,パワーシェアリング,2016/05/31 11:00-11:30,東北,11.79,1,5895,0.03,15,0.5
11605312303A00040,パワーシェアリング,2016/05/31 11:00-11:30,東京,11.79,6,35370,0.03,90,0.5
11605312304A00016,パワーシェアリング,2016/05/31 11:00-11:30,中部,8.04,1,4020,0.03,15,0.5
11605312306A00023,パワーシェアリング,2016/05/31 11:00-11:30,関西,8.04,6,24120,0.03,90,0.5
11605312309A00014,パワーシェアリング,2016/05/31 11:00-11:30,九州,8.04,2,8040,0.03,30,0.5
11605312402A00014,パワーシェアリング,2016/05/31 11:30-12:00,東北,11.79,1,5895,0.03,15,0.5
